public_claim,source_evidence,public_route
Firmament is statically evaluated compiler metaprogramming,docs/development/history/firmament/preview2-reference/language-reference.md,/aetheris/firmament/philosophy
tolerance does not perturb nominal geometry,docs/development/history/firmament/preview2-reference/language-reference.md,/aetheris/firmament/values-tolerances
SemanticValue is origin-independent,docs/development/milestones/semantic/architecture.md + Aetheris.Semantics.Tests,/aetheris/firmament/semantics
recognition is bounded and not arbitrary history recovery,language reference + InlineStep tests,/aetheris/firmament/inline-step
Forge host performs typed Template invocation,docs/development/milestones/forge/invocation-sdk.md + Aetheris.Forge.Host.Tests,/aetheris/forge/host-sdk
Forge extension can return exact BRep CIR and semantic members,Aetheris.Forge.SampleExtension + Forge SDK tests,/aetheris/forge/extension-sdk
SurfaceMeshIR precedes OBJ/STL triangulation,Preview 2 mesh evidence + current CLI run,/aetheris/geometry/surface-mesh-ir
BRep and CIR dual-lower from shared intent,docs/development/history/preview2/feature-manifest.json,/aetheris/analysis/continuum
FEA supports bounded linear isotropic elasticity,docs/development/milestones/fea/firmament-analysis.md + Aetheris.FEA.Tests,/aetheris/analysis/fea
Assembly structure is a tree and Mate topology a graph,docs/development/milestones/assembly/architecture.md + Assembly tests,/aetheris/assemblies/interfaces-mates
stackup is deterministic signed interval propagation,docs/development/milestones/assembly/tolerance-stackup.md + bearing fixtures,/aetheris/assemblies/tolerance-stackup
no top-level Forge CLI exists,Aetheris.CLI --help and `aetheris forge --help` failure,/aetheris/cli
